"Country","Adjective","Region"
"Afghanistan","Afghan","Southern Asia"
"Albania","Albanian","Southern Europe"
"Algeria","Algerian","Northern Africa"
"Andorra","Andorran","Southern Europe"
"Angola","Angolan","Middle Africa"
"Antigua, Barbuda","Antiguan, Barbudan","Caribbean"
"Argentina","Argentine, Argentinean","South America"
"Armenia","Armenian","Western Asia"
"Australia","Australian","Australia and New Zealand"
"Austria","Austrian","Western Europe"
"Azerbaijan","Azerbaijani","Western Asia"
"Bahamas","Bahamian","Caribbean"
"Bahrain","Bahraini","Western Asia"
"Bangladesh","Bangladeshi","Southern Asia"
"Barbados","Barbadian","Caribbean"
"Belarus","Belarusian","Eastern Europe"
"Belgium","Belgian","Western Europe"
"Belize","Belizean","Central America"
"Benin","Beninese","Western Africa"
"Bhutan","Bhutanese","Southern Asia"
"Bolivia","Bolivian","South America"
"Bosnia, Herzegovina","Bosnian, Herzegovinian","Southern Europe"
"Botswana","Motswana, Botswanan","Southern Africa"
"Brazil","Brazilian","South America"
"Brunei","Bruneian","South-eastern Asia"
"Bulgaria","Bulgarian","Eastern Europe"
"Burkina Faso","Burkinabe","Western Africa"
"Burundi","Burundian","Eastern Africa"
"Cabo Verde, Cape Verde","Cabo Verdean, Cape Verdean","Western Africa"
"Cambodia","Cambodian","South-eastern Asia"
"Cameroon","Cameroonian","Middle Africa"
"Canada","Canadian","Northern America"
"Central Africa","Central African","Middle Africa"
"Chad","Chadian","Middle Africa"
"Chile","Chilean","South America"
"China","Chinese","Eastern Asia"
"Colombia","Colombian","South America"
"Comoros","Comoran","Eastern Africa"
"Congo","Congolese","Middle Africa"
"Costa Rica","Costa Rican","Central America"
"Cote d'Ivoire, Ivory Coast","Ivorian","Western Africa"
"Croatia","Croatian","Southern Europe"
"Cuba","Cuban","Caribbean"
"Cyprus","Cypriot","Western Asia"
"Czechia, Czech Republic","Czech","Eastern Europe"
"Denmark","Danish","Northern Europe"
"Djibouti","Djiboutian","Eastern Africa"
"Dominica","Dominican","Caribbean"
"Dominican Republic","Dominican","Caribbean"
"Ecuador","Ecuadorian","South America"
"Egypt","Egyptian","Northern Africa"
"El Salvador","Salvadoran","Central America"
"Equatorial Guinea","Equatorial Guinean, Equatoguinean","Middle Africa"
"Eritrea","Eritrean","Eastern Africa"
"Estonia","Estonian","Northern Europe"
"Eswatini, Swaziland","Eswatini, Swati","Southern Africa"
"Ethiopia","Ethiopian","Eastern Africa"
"Fiji","Fijian","Melanesia"
