Country,Adjective,Region,Country Code
Afghanistan,Afghan,Southern Asia,Afghanistan
Albania,Albanian,Southern Europe,Albania
Algeria,Algerian,Northern Africa,Algeria
Andorra,Andorran,Southern Europe,
Angola,Angolan,Middle Africa,Angola
"Antigua, Barbuda","Antiguan, Barbudan",Caribbean,
Argentina,"Argentine, Argentinean",South America,Argentina
Armenia,Armenian,Western Asia,Armenia
Australia,Australian,Australia and New Zealand,Australia
Austria,Austrian,Western Europe,Austria
Azerbaijan,Azerbaijani,Western Asia,Azerbaijan
Bahamas,Bahamian,Caribbean,The Bahamas
Bahrain,Bahraini,Western Asia,
Bangladesh,Bangladeshi,Southern Asia,Bangladesh
Barbados,Barbadian,Caribbean,
Belarus,Belarusian,Eastern Europe,Belarus
Belgium,Belgian,Western Europe,Belgium
Belize,Belizean,Central America,Belize
Benin,Beninese,Western Africa,Benin
Bhutan,Bhutanese,Southern Asia,Bhutan
Bolivia,Bolivian,South America,Bolivia
"Bosnia, Herzegovina","Bosnian, Herzegovinian",Southern Europe,Bosnia and Herzegovina
Botswana,"Motswana, Botswanan",Southern Africa,Botswana
Brazil,Brazilian,South America,Brazil
Brunei,Bruneian,South-eastern Asia,Brunei
Bulgaria,Bulgarian,Eastern Europe,Bulgaria
Burkina Faso,Burkinabe,Western Africa,Burkina Faso
Burundi,Burundian,Eastern Africa,Burundi
"Cabo Verde, Cape Verde","Cabo Verdean, Cape Verdean",Western Africa,
Cambodia,Cambodian,South-eastern Asia,Cambodia
Cameroon,Cameroonian,Middle Africa,Cameroon
Canada,Canadian,Northern America,Canada
Central Africa,Central African,Middle Africa,Central African Republic
Chad,Chadian,Middle Africa,Chad
Chile,Chilean,South America,Chile
China,Chinese,Eastern Asia,China
Colombia,Colombian,South America,Colombia
Comoros,Comoran,Eastern Africa,
Congo,Congolese,Middle Africa,Democratic Republic of the Congo
Costa Rica,Costa Rican,Central America,Costa Rica
"Cote d'Ivoire, Ivory Coast",Ivorian,Western Africa,Ivory Coast
Croatia,Croatian,Southern Europe,Croatia
Cuba,Cuban,Caribbean,Cuba
Cyprus,Cypriot,Western Asia,Cyprus
"Czechia, Czech Republic",Czech,Eastern Europe,Czechia
Denmark,Danish,Northern Europe,Denmark
Djibouti,Djiboutian,Eastern Africa,Djibouti
Dominica,Dominican,Caribbean,
Dominican Republic,Dominican,Caribbean,Dominican Republic
Ecuador,Ecuadorian,South America,Ecuador
Egypt,Egyptian,Northern Africa,Egypt
El Salvador,Salvadoran,Central America,El Salvador
Equatorial Guinea,"Equatorial Guinean, Equatoguinean",Middle Africa,Equatorial Guinea
Eritrea,Eritrean,Eastern Africa,Eritrea
Estonia,Estonian,Northern Europe,Estonia
"Eswatini, Swaziland","Eswatini, Swati",Southern Africa,eSwatini
Ethiopia,Ethiopian,Eastern Africa,Ethiopia
Fiji,Fijian,Melanesia,Fiji
Finland,Finnish,Northern Europe,Finland
France,French,Western Europe,France
Gabon,Gabonese,Middle Africa,Gabon
Gambia,Gambian,Western Africa,Gambia
Georgia,Georgian,Western Asia,Georgia
Germany,German,Western Europe,Germany
Ghana,Ghanaian,Western Africa,Ghana
Greece,"Greek, Hellenic",Southern Europe,Greece
Grenada,Grenadian,Caribbean,
Guatemala,Guatemalan,Central America,Guatemala
Guinea,Guinean,Western Africa,Guinea
Guinea-Bissau,Bissau-Guinean,Western Africa,Guinea-Bissau
Guyana,Guyanese,South America,Guyana
Haiti,Haitian,Caribbean,Haiti
Honduras,Honduran,Central America,Honduras
Hungary,Hungarian,Eastern Europe,Hungary
Iceland,Icelandic,Northern Europe,Iceland
India,Indian,Southern Asia,India
Indonesia,Indonesian,South-eastern Asia,Indonesia
Iran,"Iranian, Persian",Southern Asia,Iran
Iraq,Iraqi,Western Asia,Iraq
Ireland,Irish,Northern Europe,Ireland
Israel,Israeli,Western Asia,Israel
Italy,Italian,Southern Europe,Italy
Jamaica,Jamaican,Caribbean,Jamaica
Japan,Japanese,Eastern Asia,Japan
Jordan,Jordanian,Western Asia,Jordan
Kazakhstan,"Kazakhstani, Kazakh",Central Asia,Kazakhstan
Kenya,Kenyan,Eastern Africa,Kenya
Kiribati,I-Kiribati,Micronesia,
Kosovo,Kosovar,Southern Europe,Kosovo
Kuwait,Kuwaiti,Western Asia,Kuwait
Kyrgyzstan,"Kyrgyzstani, Kyrgyz",Central Asia,Kyrgyzstan
Laos,"Lao, Laotian",South-eastern Asia,Laos
Latvia,Latvian,Northern Europe,Latvia
Lebanon,Lebanese,Western Asia,Lebanon
Lesotho,Mosotho,Southern Africa,Lesotho
Liberia,Liberian,Western Africa,Liberia
Libya,Libyan,Northern Africa,Libya
Liechtenstein,Liechtensteiner,Western Europe,
Lithuania,Lithuanian,Northern Europe,Lithuania
Luxembourg,Luxembourgish,Western Europe,Luxembourg
Madagascar,Malagasy,Eastern Africa,Madagascar
Malawi,Malawian,Eastern Africa,Malawi
Malaysia,Malaysian,South-eastern Asia,Malaysia
Maldives,Maldivian,Southern Asia,
Mali,Malian,Western Africa,Mali
Malta,Maltese,Southern Europe,
Marshall Island,Marshallese,Micronesia,
Mauritania,Mauritanian,Western Africa,Mauritania
Mauritius,Mauritian,Eastern Africa,
Mexico,Mexican,Central America,Mexico
Micronesia,Micronesian,Micronesia,
Moldova,Moldovan,Eastern Europe,Moldova
Monaco,"Monacan, Monegasque",Western Europe,
Mongolia,Mongolian,Eastern Asia,Mongolia
Montenegro,Montenegrin,Southern Europe,Montenegro
Morocco,Moroccan,Northern Africa,Morocco
Mozambique,Mozambican,Eastern Africa,Mozambique
"Myanmar, Burma",Burmese,South-eastern Asia,Myanmar
Namibia,Namibian,Southern Africa,Namibia
Nauru,Nauruan,Micronesia,
Nepal,"Nepali, Nepalese",Southern Asia,Nepal
"Netherlands, Holland",Dutch,Western Europe,Netherlands
New Zealand,"New Zealander, Kiwi",Australia and New Zealand,New Zealand
Nicaragua,Nicaraguan,Central America,Nicaragua
Niger,Nigerien,Western Africa,Niger
Nigeria,Nigerian,Western Africa,Nigeria
North Korea,North Korean,Eastern Asia,North Korea
North Macedonia,Macedonian,Southern Europe,North Macedonia
Norway,Norwegian,Northern Europe,Norway
Oman,Omani,Western Asia,Oman
Pakistan,Pakistani,Southern Asia,Pakistan
Palau,Palauan,Micronesia,
Palestine,Palestinian,Western Asia,
Panama,Panamanian,Central America,Panama
Papua New Guinea,Papua New Guinean,Melanesia,Papua New Guinea
Paraguay,Paraguayan,South America,Paraguay
Peru,Peruvian,South America,Peru
Philippines,"Philippine, Filipino",South-eastern Asia,Philippines
Poland,Polish,Eastern Europe,Poland
Portugal,Portuguese,Southern Europe,Portugal
Qatar,Qatari,Western Asia,Qatar
Romania,Romanian,Eastern Europe,Romania
Russia,Russian,Eastern Europe,Russia
Rwanda,Rwandan,Eastern Africa,Rwanda
"Saint Kitts, Nevis","Kittitian, Nevisian",Caribbean,
Saint Lucia,Saint Lucian,Caribbean,
"Saint Vincent, Grenadines",Vincentian,Caribbean,
Samoa,Samoan,Polynesia,
San Marino,Sammarinese,Southern Europe,
"Sao Tome, Principe",Sao Tomean,Middle Africa,
Saudi Arabia,"Saudi, Saudi Arabian",Western Asia,Saudi Arabia
Senegal,Senegalese,Western Africa,Senegal
Serbia,Serbian,Southern Europe,Republic of Serbia
Seychelles,Seychellois,Eastern Africa,
Sierra Leone,Sierra Leonean,Western Africa,Sierra Leone
Singapore,Singaporean,South-eastern Asia,
Slovakia,Slovak,Eastern Europe,Slovakia
Slovenia,"Slovenian, Slovene",Southern Europe,Slovenia
Solomon Island,Solomon Islander,Melanesia,Solomon Islands
Somalia,Somali,Eastern Africa,Somalia
South Africa,South African,Southern Africa,South Africa
Korea,Korean,Eastern Asia,South Korea
South Sudan,South Sudanese,Eastern Africa,South Sudan
Spain,Spanish,Southern Europe,Spain
Sri Lanka,Sri Lankan,Southern Asia,Sri Lanka
Sudan,Sudanese,Northern Africa,Sudan
Suriname,Surinamese,South America,Suriname
Sweden,Swedish,Northern Europe,Sweden
Switzerland,Swiss,Western Europe,Switzerland
Syria,Syrian,Western Asia,Syria
Taiwan,Taiwanese,Eastern Asia,Taiwan
Tajikistan,Tajikistani,Central Asia,Tajikistan
Tanzania,Tanzanian,Eastern Africa,United Republic of Tanzania
Thailand,Thai,South-eastern Asia,Thailand
"Timor-Leste, East Timor",Timorese,South-eastern Asia,East Timor
Togo,Togolese,Western Africa,Togo
Tonga,Tongan,Polynesia,
"Trinidad, Tobago","Trinidadian, Tobagonian",Caribbean,Trinidad and Tobago
Tunisia,Tunisian,Northern Africa,Tunisia
Turkey,Turkish,Western Asia,Turkey
Turkmenistan,Turkmen,Central Asia,Turkmenistan
Tuvalu,Tuvaluan,Polynesia,
Uganda,Ugandan,Eastern Africa,Uganda
Ukraine,Ukrainian,Eastern Europe,Ukraine
"United Arab Emirates, UAE",Emirati,Western Asia,United Arab Emirates
"United Kingdom, UK, Great Britain","British, UK, English, Scottish, Welsh, Northern Irish",Northern Europe,United Kingdom
"United States, USA, America",American,Northern America,United States of America
Uruguay,Uruguayan,South America,Uruguay
Uzbekistan,"Uzbekistani, Uzbek",Central Asia,Uzbekistan
Vanuatu,Vanuatuan,Melanesia,Vanuatu
"Vatican, Vatican City, Holy See",Vaticanian,Southern Europe,
